0	0	0	0

0	1	5	3

1	0	6	0

1	0	0	0

1	1	11	3

1	1	5	3

2	0	9	0

2	0	6	0

2	0	3	0

2	0	0	0

2	1	14	3

2	1	11	3

2	1	8	3

2	1	5	3

3	0	18	0

3	0	9	0

3	0	15	0

3	0	6	0

3	0	12	0

3	0	3	0

3	0	9	0

3	0	0	0

3	1	23	3

3	1	14	3

3	1	20	3

3	1	11	3

3	1	17	3

3	1	8	3

3	1	14	3

3	1	5	3

4	0	26	0

4	0	18	0

4	0	17	0

4	0	9	0

4	0	23	0

4	0	15	0

4	0	14	0

4	0	6	0

4	0	20	0

4	0	12	0

4	0	11	0

4	0	3	0

4	0	17	0

4	0	9	0

4	0	8	0

4	0	0	0

4	1	31	3

4	1	23	3

4	1	22	3

4	1	14	3

4	1	28	3

4	1	20	3

4	1	19	3

4	1	11	3

4	1	25	3

4	1	17	3

4	1	16	3

4	1	8	3

4	1	22	3

4	1	14	3

4	1	13	3

4	1	5	3

31
